text,label_text
"With receipt of the above instructions, the jury was sufficiently appraised of the more restrictive burden on the government than that required by Miller.","Facts, Analysis"
"In Miller and Handing, the Court reiterated its pronouncement in Roth v. United States, 77 S. Ct. 1304 (1957):","Facts, Rule/Law/Holding"
The Court in Hamling reconfirmed its renunciation of a rigid standard:,"Facts, Invalid sentences"
Appellant also contends that judicial interpretation of the Guam obscenity statute to include the Miller specificity requirements does not rectify the statute's unconstitutionality.,"Facts, Issue"
"The rationale for this proposition is that the Miller Court had included in its opinion language to the effect that""... existing state statutes, as construed heretofore or hereafter, may well be adequate.""","Facts, Issue"
"Appellant argues that this reference to statutes ""existing"" at the time Miller was decided precludes judicial construction of statutes passed after the decision, and therefore Guam's statute, which had been passed approximately three years after Miller, is not capable of being ""saved"" by judicial construction.","Facts, Issue"
"It is evident that the Court felt existing state obscenity laws which were otherwise constitutionally valid would continue to be valid, either as written or construed, in the indeterminate future.","Facts, Conclusion"
"We find that it would be inconsistent with notions of due process, and therefore inconceivable as in inference, to interpret the Court's meaning to be that an obscenity statute currently active in a State's law may or may not be constitutional, depending solely on whether it was enacted prior to or after the decision in Miller.","Facts, Conclusion"
"While we acknowledge that the language of the Guam statute is in large part archaic, we do not find that it is on that basis alone unconstitutional.","Facts, Conclusion"
"In an alternative context, appellant contends that even if judicial interpretation of the Guam obscenity statute to include the specificity requirements is valid, such construction does not cure the constitutional defect as applied to appellant.","Facts, Issue"
"This contention is premised on the proposition that the Guam statute is facially defective, a proposition with which we are not in agreement.","Facts, Issue"
In what way?,"Facts, Others"
"Well, she was laying on the stage on her side, and she lifted one of her legs way up in the air, and with hands, she parted her labia, exposing the inner section.","Facts, Others"
id she do anything else?,"Facts, Others"
"The argument, however, is that the definition of obscenity under Miller is a completely separate requirement from the requirement of a specific definition of the sexual conduct being prohibited, and that any construction of the Guam statute to include the Miller specificity requirements is unconstitutional because the construction could only have been made subsequent to appellant's arrest.","Facts, Issue"
"The question that must first be answered is whether the phraseology ""obscene act"" and obscene exhibition of his (sic) body"" was sufficient as notice to appellant that her conduct was proscribed.","Facts, Issue"
Only if it was not does the issue of statutory construction as applied to appellant's conduct become viable for review.,"Facts, Analysis"
"655, 446 P.2d 535 (1968), cited by appellant in support of her argument, is inapposite to the current state of the law regarding ""contemporary community standards.""","Facts, Analysis"
"Neither expert testimony on community standards, Hamling v. United States, supra at 2912-2914, nor instructions on precisely what ""community"" to consider, Jenkings v. Georgia, 418 U.S. 153, 157 (1974), are constitutionally required.","Facts, Analysis"
Further the possibility that different juries might reach different conclusions as to the same material does not render a statute unconstitutional.,"Facts, Analysis"
"Regarding the ""contemporary community standards"" to be applied in judging appellant's conduct, the trial judge charged the jury as follows:","Facts, Rule/Law/Holding"
"We hold that this charge to the jury was sufficient and proper, and find no merit in appellant's attack on the failure of the Government to produce evidence of the community standards of Guam.","Facts, Rule/Law/Holding"
Appellant's final contention is that the evidence presented at trial was insufficient to sustain a conviction because the jury was deprived of the opportunity to consider appellant's performance as a whole in reaching its determination as to whether or not appellant violated Guam's obscenity law.,"Facts, Issue"
We also recognize that it is probable that appellant had not completed,"Facts, Rule/Law/Holding"
"The third criterion of Section 28.45(a) is that the performance must be ""utterly without redeeming social importance.""","Facts, Rule/Law/Holding"
"We emphasize that the performance must not only have social importance to be constitutionally protected, but that the social importance must be sufficient to redeem the obscene, or unprotected part of the performance.","Facts, Analysis"
"Thus, even if appellant's performance opened with a Shakespearean recitation and climaxed with an aria from the ""Barber of Seville,"" a jury could nevertheless have found that, notwithstanding whatever social importance was gleaned from the entire performance, it was insufficient to redeem the obscene act or exhibition.","Facts, Analysis"
"When the verdict of a jury is challenged, the general rule of applicability is that its verdict must be sustained if there is substantial evidence, taking the view most favorable to the Government, to support it.","Facts, Rule/Law/Holding"
"Based on the evidence before it, the jury could have inferred that the appellant's performance would have been obscene irrespective of its context, and returned a verdict of guilty based on that inference.","Facts, Analysis"
"Because of this, we are not inclined to disturb the verdict as rendered.","Facts, Analysis"
The judgment of the Superior Court is AFFIRMED.,"Facts, Conclusion"
"See, for example, J. Harlan's separate opinion in Interstate Circuit, Inc. v. Dallas, 88 S. Ct. 1298 (1968), wherein he expressed that the ""intractable obscenity problem"" had led to ""a variety of views among the members of the Court unmatched in any other course of constitutional adjudication.""","Facts, Rule/Law/Holding"
"The Court cited laws enacted in Oregon and Hawaii as examples of state laws directed at depiction of specifically defined physical conduct, as opposed to expression.","Facts, Rule/Law/Holding"
She was gyrating her pelvis in and out.,"Facts, Others"
"Any material or performance is obscene if considered as a whole, applying contemporary community standards:","Facts, Facts, Rule/Law/Holding, Rule/Law/Holding"
1. its predominant appeal is to prurient interest;,"Facts, Rule/Law/Holding"
"2. it goes substantially beyond customary limits of candor in the description or representation of nudity, sex or excrétion; and","Facts, Rule/Law/Holding"
3. it is utterly without redeeming social importance.,"Facts, Rule/Law/Holding"
"In a prosection under this article, the question whether the predominant appeal of material or of a performance is to prurient interest shall be determined with reference to average adults, unless it appears from the nature of the material or performance, or from the circumstances of its dissemination, distribution, or exhibition, that it is designed for a clearly defined deviant sexual group or for children, in which case the question of predominant appeal shall be determined with reference to the intended recipient group.","Facts, Issue"
"When circumstances of production, sale, dissemination, distribution, or publicity indicate that material or a performance is being exploited by the defendant for the sake of its prurient appeal, evidence of such circumstances is admissible in a prosecution under this article upon the upon question whether the material or performance is utterly without redeeming social importance.","Facts, Analysis"
Neither the prosecution nor the defense shall be required to introduce expert witness testimony concerning the obscene character of the material,"Facts, Conclusion"
"In Miller, the Court stated that:","Facts, Rule/Law/Holding"
we now confine the permissible scope of .,"Facts, Rule/Law/Holding"
regulation to works which depict or describe sexual conduct.,"Facts, Rule/Law/Holding"
"That conduct must be specifically defined by the applicable state law, as written or authoritatively construed (footnote omitted).","Facts, Rule/Law/Holding"
"A state offense must also be limited to works which, taken as whole, appeal to the prurient interest in sex, which portray sexual conduct in a patently offensive way, and which, taken as a whole, do not have serious literary, artistic, political, or scientific value.","Facts, Rule/Law/Holding"
"The basic guidelines for the trier of fact must be: (a) whether ""the average person, applying contemporary community standards"" would find that the work, taken as a whole, appeals to the prurient interest, (citations omitted); (b) whether the work depicts or describes, in a patently offensive way, sexual conduct specifically defined by the applicable state law; and (c) whether the work, taken as a","Facts, Issue"
"In order to find that live conduct is obscene, each of the following elements must be proved, and there are five:","Facts, Rule/Law/Holding"
"And five, it is conduct which, taken as a whole is utterly without redeeming social value or importance.","Facts, Rule/Law/Holding"
"The weight, if any, to which such evidence is entitled is a matter for you to determine.","Facts, Rule/Law/Holding"
"""Many decisions have recognized that these terms of obscenity statutes are not precise.","Facts, Analysis"
"This Court, however, has consistently held that lack of precision is not itself offensive to the requirements of due process.","Facts, Analysis"
...[T]he Constitution does not require impossible standards; all that is required it that the language conveys sufficiently definite warning as to the proscribed conduct when measured by common understanding and practices.,"Facts, Analysis"
"These words, applied according to the proper standard for judging obscenity ... give adequate warning to conduct proscribed and mark","Facts, Analysis"
"while the Court in Miller did refer to ""specific prerequisites"" which ""will provide fair notice to a dealer in such materials,"" 413 U.S., at 27, 93 S. Ct. at 2616, the Court immediately thereafter quoted the language of the Court in Roth v. United States, 354 U.S., at 491-492, 77 S. Ct., at 1312-1313, concluding with these words:","Facts, Rule/Law/Holding"
"""That there may be marginal cases in which it is difficult to determine the side of the line on which particular fact situation falls is no sufficient reason to hold the language to ambiguous to define a criminal offense..."" 413 U.S., at 28 n.","Facts, Rule/Law/Holding"
"The Miller cases, important as they were in enunciating a constitutional test for obscenity to which a majority of the Court subscribed for the first time in a numbers of years, were intended neither as legislative drafting handbooks or as manuals of jury instructions...","Facts, Analysis"
We do not hold .,"Facts, Conclusion"
that all States,"Facts, Conclusion"
"In Hamling, the court stated that:","Facts, Rule/Law/Holding"
"The definition of obscenity ... is not a question of fact, but one of law; the word is not merely a generic or descriptive term, but a legal term of art. (citations omitted) .","Facts, Rule/Law/Holding"
The legal definition of obscenity does not change with each indictment; it is a term sufficiently definite in legal meaning to give a defendant notice of the charge against him.,"Facts, Rule/Law/Holding"
the various component parts of the constitutional definition of obscenity need not be alleged ... in order to establish its sufficiency .,"Facts, Analysis"
"Your own personal, social or moral views on material such as that shown in the complaint may not be considered for purposes of determining the obscenity of the material here in question.","Facts, Conclusion"
"In that regard, you may consider evidence concerning the standards of any local community in Guam for such bearing, if any, as you may determine it has upon the question of what the territory-wide standard is.","Facts, Conclusion"
"The standard of any such local community may not be taken, in and of itself, to establish the territory-wide standard, thought it may be considered as some evidence of what the territory-wide standard is.","Facts, Rule/Law/Holding"
Its predominant appeal is to prurient interest;,"Facts, Rule/Law/Holding"
"It goes substantially beyond customary limits of candor in the description or representation of nudity, sex or excretion; and","Facts, Rule/Law/Holding"
It is utterly without redeeming social importance.,"Facts, Rule/Law/Holding"
A quotation from Voltaire in the flyleaf of a book will not constitutionally redeem an otherwise obscene publication.,"Facts, Rule/Law/Holding"
"In reviewing the Child Welfare Services Social Worker's reports, it is evident that termination is in the child's best interest.","Facts, Conclusion"
The factual situation in this case is sufficient grounds for termination.,"Facts, Analysis"
"In view of the foregoing, the mother-child relationship is severed.","Facts, Conclusion"
This is an interlocutory appeal after the Trial Court granted Defendant's motion to suppress a firearm which was seized after a search warrant was issued for the search of Defendant's house.,"Facts, Issue"
"The Trial Court granted the motion to suppress on the grounds that (1) they made by the ""CRI"" was not a supervised buy about which Officer Klinge was competent to testify from firsthand knowledge and (2) there was not presented sufficient showing that the ""CRI"" was reliable.","Facts, Rule/Law/Holding"
"When the affidavit is not based on direct personal observation of the affiant, the judge issuing the search warrant must be informed of some of the underlying circumstances from which the affiant concludes that the informant is credible or his information reliable.","Facts, Rule/Law/Holding"
"Be that as it may, this does not alter the original information presented to the issuing magistrate.","Facts, Conclusion"
The Trial Court did not find (nor is there anything in the record to so indicate) that there is a false statement in the affidavit or testimony of Officer Klinge or that Klinge demonstrated reckless disregard for the truth which would require an evidentiary hearing.,"Facts, Rule/Law/Holding"
There is a presumption of validity with respect to the affidavit supporting the search warrant.,"Facts, Others"
"If, after setting aside any material that is the subject of the charge of falsity or reckless disregard of the truth, there is sufficient content in the warrant affidavit to support a finding of probable cause, an evidentiary hearing is not even required.","Facts, Conclusion"
"This condensed statement of the contents of the Affidavit is sufficient to point out that ""CRI"" had given information to the police concerning two buys before the one at Rico's house and furnished information which had never been found to be inaccurate.","Facts, Conclusion"
"If the warrant issued upon a showing of fact which was inherently incredible or false or deliberately misleading, the warrant was issued without probable cause.","Facts, Issue"
"However, no showing of this kind was made in the trial court.","Facts, Conclusion"
"The trial judge erroneously substituted his own view of the facts for that of the issuing officer after taking evidence which was not relative to the issue of the reliability of ""CRI"" as an informant.","Facts, Conclusion"
"Affidavit for search warrants must be tested and interpreted by magistrates and courts in a common sense and realistic fashion, and technical requirements of elaborate specificity are no longer required.","Facts, Analysis"
"After reading the affidavit and the transcript of the testimony of Officer Klinge, we find that the information","Facts, Conclusion"
The Order granting the motion to suppress the weapon is REVERSED.,"Facts, Conclusion"
"On April 14, 1976, the Superior Court dismissed appellants' complaint for failure to comply with the Government of Guam Claims Act.","Facts, Rule/Law/Holding"
We affirm.,"Facts, Conclusion"
"Appellants' claim for relief is based on a 1972 Three-Year Collective Bargaining Agreement which provides that all off-island teachers whose performance had been rated satisfactory would be offered similar reemployment by March 1 of the teacher's termination year, so long as the government of Guam policies provide for such hiring of teachers .","Facts, Issue"
on round-trip contracts.,"Facts, Others"
"There is no question that all of the appellants had performed satisfactorily as teachers; however, their contracts were not renewed in a timely manner.","Facts, Conclusion"
The trial judge's dismissal of the complaint was based on a sovereign immunity defense.,"Facts, Analysis"
The Organic Act of Guam empowers the local legislature to waive sovereign immunity in tort and contract actions against the Government to the extent which it deems desirable.,"Facts, Rule/Law/Holding"
"Appellants contend that the notice requirements under the Claims Act were substantially complied with because plaintiffs followed the grievance procedures contained in Article IV of the 1972 Collective Bargaining Agreement, thus giving the Government at least indirect notice of their desire to bring suit.","Facts, Issue"
"However, no cases have been offered to support this novel theory of constructive notice, and, as the authority cited by the appellee makes clear, the jurisdictional requirements of government claims statutes must be strictly followed.","Facts, Analysis"
Appellants also argue that the sovereign immunity doctrine does not prevent litigants from seeking equitable relief compelling government officials to perform their duties properly (in this case requiring the Department of Education to issue contracts which become effective retroactively with full pay).,"Facts, Issue"
It is clear that sovereign immunity applies to specific performance actions against the Government; otherwise the government cannot operate effectively if its every act is subject to injunctive actions.,"Facts, Analysis"
Appellant was charged with the misdemeanor offense of presenting an obscene performance by parting her vulva with her hands while lying down on stage in violation of §28.50 of the Guam Criminal and Correctional Code [9 GCA].,"Issue, Facts"
"Here none of the conditions enumerated in Sections 40.65, 40.70 and 40.75 of the Guam Criminal Procedure Code were present; thus the better course would have been for the Government to prepare an Order to Show Cause with timely notice of hearing, so that a complete and effective record could be prepared.","Rule/Law/Holding, Analysis"
"Our reading of §28.45 and §28.50 in the light of the Court's statements in Roth, 12 200-ft. Reels and Hamling leads us to conclude that, although the language of the Guam obscenity statue is at variance with the guidelines set out verbatim in Miller, the language is sufficiently specific under Miller as to be absent of any constitutional defect.","Rule/Law/Holding, Conclusion"
"Nevertheless, a review and disposition of whether §28.45 and §28.50 are unconstitutional as applied to the specific conduct of appellant is appropriate here.","Rule/Law/Holding, Conclusion"
It is notable that even appellant concedes that the Guam statute does forbid the presentation of an obscene performance (appellant's brief at p.5).,"Rule/Law/Holding, Analysis"
"Accordingly, we conclude that the language of §28.45 and §28.50, and particularly that language of §28.50(y), gave adequate notice to appellant that her conduct was within the prohibition of the statute.","Rule/Law/Holding, Conclusion"
"Although the Government tried to argue that the Complaint filed against the accused was sufficient for the Superior Court to have revoked his bail, Section 1.17 of the Guam Criminal Procedure Code clearly states that an information may not be filed until there has been a preliminary examination and an order holding defendant to answer under Section 45.80.","Analysis, Rule/Law/Holding"
"While the Superior Court might have had the power to automatically revoke the defendant's release on bail if the above conditions had been satisfied, the record makes it clear that the Superior Court based its revocation on the mere fact that a complaint had been filed.","Analysis, Conclusion"
"No where in the Guam Criminal Procedure Code does the mere filing of a complaint empower the court to take such action, and the Superior Court must be charged with uniformly applying all section of the Guam Criminal Procedure Code.","Analysis, Rule/Law/Holding"
"Also, it seems that appellant's counsel was not given adequate notice and time to prepare for a hearing on the revocation of his client's bail.","Analysis, Conclusion"
"Certainly, minimum standards of due process require at least a few hours notice so that counsel may intelligently protect his client's rights.","Analysis, Rule/Law/Holding"
"Upon review of appellant's contentions, we find no basis for reversal, and accordingly AFFIRM the judgment of the trial court.","Analysis, Conclusion"
"We note first that obscenity can manifest itself in conduct as well as through means of verbal and pictorial expression, Kaplan v. California, 93 S. Ct. 2680, 2683-2684 (1973), and that States have greater power to regulate nonverbal, physical conduct than to suppress depictions or descriptions of the same behavior.","Analysis, Rule/Law/Holding"
We also recognize that the search for guidance in separating unprotected obscenity from other sexually oriented but constitutionally protected forms of expression has historically been one of the more difficult tasks of reviewing courts.,"Analysis, Rule/Law/Holding"
We now turn to appellant's contention that Guam's obscenity statute fails to comply with the specificity requirements of Miller v. California and is therefore unconstitutional on its face.,"Analysis, Issue"
"The second part (part (b)) of the Miller guidelines for the trier of fact in determining what is patently offensive is ""whether","Analysis, Invalid sentences"
Appellant argues that the examples set forth in Miller describe sexual conduct while the Guam statute does not provide any definition or any example of what forms of sexual conduct are being regulated.,"Analysis, Issue"
"While there can be no question that Miller requires sexual conduct to be specifically defined by the applicable law, we believe that appellant misconceives the exactitude with which such specificity is to be defined.","Analysis, Conclusion"
"We find that the language of the statute provided appellant with adequate notice of the illegality of her conduct, and that therefore it is not incumbent upon us to reach the propounded issue of whether the statute was unconstitutional as construed to apply to appellant’s conduct.","Analysis, Conclusion"
"The use of the terminology ""obscene act"" and ""obscene exhibition"" is therefore sufficiently definite in legal meaning as to have provided appellant with notice of the charge against her.","Analysis, Conclusion"
Appellant's next contention is that the evidence presented against her at trial was insufficient to sustain a conviction in that the Government failed to produce any evidence of the community standards of Guam.,"Analysis, Issue"
We find that they were and we reverse the Order granting the motion to suppress.,"Analysis, Conclusion"
The testimony before the Judge issuing the search was in a little more detail about the controlled buy at Rico's.,"Analysis, Facts"
"The Government Code of Guam, §§6500.00 et seq, provides for such waiver and §6500.05 of the Claims Act requires that all claims against the Government must be filed within six months from the date the claim arose.","Analysis, Rule/Law/Holding"
"In a July 19, 1979 Opinion, the District Court determined that a three-judge panel is not required to hear appeals relating to bail hearings.","Conclusion, Rule/Law/Holding"
Footnote:,"Others, Invalid sentences"
People v. Francisco S. Palacios and Valerie M. Palacios (D.C. Criminal Case Nos.,"Others, Invalid sentences"
Footnotes:,"Others, Invalid sentences"
"In Re Giannini, 69 Cal. 2d 653, 72 Cal. Rptr.","Invalid sentences, Analysis"
Section 28.45(a) of the Guam Criminal and Correctional Code states:,"Invalid sentences, Rule/Law/Holding"
"As stated in Kois v. Wisconsin, 92 S.Ct.","Invalid sentences, Others"
"2245, 2246 (1972), and cited in Miller v. California, supra at 2615:","Invalid sentences, Others"
"Glasser v. United States, 62 S.Ct.","Invalid sentences, Others"
"456, 468 (1942).","Invalid sentences, Others"
"See Roth v. United States, 77 S. Ct. 1304 (1975).","Invalid sentences, Rule/Law/Holding"
"i.e. ""all States other than Oregon.""","Invalid sentences, Rule/Law/Holding"
"Reporter's Transcript, pp.6-7.","Invalid sentences, Facts"
Section 28.45 of the Guam Criminal and Correctional Code states:,"Invalid sentences, Rule/Law/Holding"
Section 28.50 of the Guam Criminal and Correction Code states:,"Invalid sentences, Rule/Law/Holding"
"Miller v. California, supra at 2615.","Invalid sentences, Others"
"Reporter's Transcript, pp.","Invalid sentences, Facts"
at 2615.,"Invalid sentences, Rule/Law/Holding"
Section 28.50 of the Guam Code provides that a person is guilty of a misdemeanor if he:,"Invalid sentences, Rule/Law/Holding"
"...' United States v. Petrillo, 332 U.S. 1, 7-8, 67 S. Ct. 1538, 1542, 91 L.Ed.","Invalid sentences, Rule/Law/Holding"
"Miller v. California, supra at 2617, n.","Invalid sentences, Others"
"Handing v. United States, supra at 2904.","Invalid sentences, Others"
"at 2670, n.","Invalid sentences, Others"
"10, 93 S. Ct. at 2617.","Invalid sentences, Others"
"at 2615, n 6.","Invalid sentences, Others"
"Hamling v. United States, supra at 2908.","Invalid sentences, Others"
"Section 231.3(a), (c), (1), (2), Juvenile Court Act. Public Law 13-133, Chapter III.","Invalid sentences, Rule/Law/Holding"
"McCray v. Illinois, 386 U.S. 300, 87 S.Ct.","Invalid sentences, Others"
"1056, 18 L.Ed 2d 62. reh.","Invalid sentences, Others"
"386 U.S. 1042, 87 S.Ct.","Invalid sentences, Others"
"Aguilar v. Texas, 378 U.S. 108 , 84 S.Ct.","Invalid sentences, Others"
"1509, 12 L.Ed.","Invalid sentences, Others"
2nd 723.,"Invalid sentences, Others"
"Franks v. Delaware, supra.","Invalid sentences, Invalid sentences, Others, Others"
"U.S. v. Ventresca, 380 U.S. 102, 85 S.Ct.","Invalid sentences, Others"
48 USC 1421(a).,"Invalid sentences, Others"
"See Veriddo v. Renard, 35 Cal.2d 263, 217 P.2d 647 (1950); Bleeck v.","Invalid sentences, Others"
"State, 52 N.Y.S.2d 894 (1945); 45 Cal.Jur.2d, State of California, §163.","Invalid sentences, Others"
"See also Busse v. U.S., 542 F.2d 421, 425","Invalid sentences, Others"
See Larson v.,"Invalid sentences, Others"
"Domestic and Foreign Corporation, 337 U.S. 682, 69 S.Ct.","Invalid sentences, Others"
"457, 93 L.Ed.","Invalid sentences, Others"
1629 (1948).,"Invalid sentences, Others"
"Wright and Miller, Volume 14, §3655.","Invalid sentences, Others"
CONCURRENCE,"Invalid sentences, Conclusion"
