text,label_text
"""Mr. Haut [counsel for plaintiffs]: In exchange on the part of the Defendants, the Plaintiffs will execute two (2) promissory notes.","Analysis, Facts, Others"
"The promissory note in favor of Guam United Trading and Financing Company [the appellant] in the amount of $20,000 with terms to be decided upon between counsel for the parties as we get into the process of drafting that, payable in ten (10) years or at the sale of the property in question, whichever comes first.","Analysis, Conclusion, Others"
"Second, the Plaintiffs will execute a promissory note in the name of Defendant Hechanova for $10,000 on the same terms, payable in ten (10) years or if the property was sold, whichever comes first.","Analysis, Conclusion, Others"
"However, common law rules of interpretation state that the repeal of a repealing statute operates to revive the original enactment where the repeal of the repealing statute is accomplished by express provision without additional legislation on the subject matter.","Conclusion, Rule/Law/Holding, Analysis"
"Also, only unsworn representations of counsel were considered, with no attempt to hear legally admitted evidence.","Conclusion, Facts, Others"
"Thus the act would provide absolute protection for an intentional tort-feasor, while providing a recovery against no one, and would indemnify a negligent tort-feasor to the extent of $100,000.","Conclusion, Facts, Analysis"
The Court is not deciding whether or not the Government may constitutionally require commercial signs to be translated into English or Chamorro.,"Others, Facts, Analysis"
The District Court sees no reason why it should make a de novo decision on matters which were not fully briefed and presented before the Superior Court of Guam.,"Others, Facts, Analysis"
This order was in direct contradiction to the representation,"Others, Facts, Invalid sentences"
That question is not before the Court.,"Invalid sentences, Facts, Analysis"
"1A Sutherland on Statutory Construction, §23.31 (3rd Ed.).","Invalid sentences, Others, Rule/Law/Holding"
