text,label_id,label_text
Prison officials allegedly the denied Reyes' request to produce certain witnesses.,1,Facts
"He was immediately placed in closed confinement until a hearing on December 13, 1978 when he was found guilty of fighting with another inmate.",1,Facts
"Reyes was returned to the Adult Main Facility on November 25, 1978.",1,Facts
"After the final hearing, he was placed in closed confinement for thirty days, with an additional thirty-day probation.",1,Facts
"There was a final hearing on January 18, 1980, where he was charged with possession of alcohol and antagonizing another inmate.",1,Facts
A defendant must respond prior to the expiration of the order.,1,Facts
"At the time said order was issued, the Government did not make any objection to the blanket prohibition.",1,Facts
"It is not beyond the discretion of this Court to interpret a summary judgment proceeding as part of the overall trial, and therefore to interpret such a prohibition as applicable to such proceeding.",1,Facts
"As regards the authenticity of the papers, unless there exists serious doubt as to the validity of the duplicate submitted, copies will be accepted by the Court.",1,Facts
"In some jurisdictions it is required by statute that minutes of grand jury proceedings are to be kept, but are not to be revealed or to be made available, except to the court, prosecuting attorney, and persons to whom the court grants permission to inspect them, and, in the last instance, only upon notice to and after hearing the prosecuting attorney.",1,Facts
"""Though recordation of grand jury testimony is the better practice and is required by judicial order, such recordation is not mandated by (the United States) Constitution.""",1,Facts
"The general rule regarding the recording of grand jury proceedings is that, in the absence of statute, the grand jury is not required to transcribe or record the proceedings brought before it.",1,Facts
Indictments dismissed without prejudice.,1,Facts
"This is a consolidation of interlocutory appeals taken from the Superior Court's denial of appellants' Motions to Dismiss indictments brought against them by the Territorial Grand Jury on February 8, 1979.",1,Facts
Judge Benson ruled that the statute in question deprives the parties of their right to trial by jury guaranteed by the Organic Act.,1,Facts
"As noted by plaintiff in the memorandum in opposition to defendant Boonprakongs' motion, the arbitration statute has come before this Court for consideration in Civil Case No. 518-76 Van de Brug and A.",1,Facts
It is undisputed that plaintiffs did not submit this claim to arbitration and screening.,1,Facts
"This Court ruled at the hearing on October 9, 1979 and in one subsequent order on October 14, 1979 as to certain counts.",1,Facts
He admits that he personally applied for the telephone on the company's behalf and he asserts that he cancelled the phone when leaving two months later.,1,Facts
The Court finds his liability extended only to the period of time he was employed as a broker for Pacific Realty Company.,1,Facts
Roy Cate was brought to Court to be examined as to his assets for payment of the judgment.,1,Facts
"Where a statute denies equal protection by making an unconstitutional classification, the classification can be abolished by making the statute operate either on everyone or on no one .....",1,Facts
"Plaintiff's motion for an Order to show Cause is GRANTED, and Plaintiff's attorney is to make a motion for a hearing date.",1,Facts
"This is especially true, when as here, we have a governing statute which speaks in terms of repeal ""to the extent of such inconsistency.""",1,Facts
The Court asked for argument on this point and the issue was briefed.,1,Facts
This matter came before the court on Plaintiff's motion for an order to show cause.,1,Facts
"Elsewhere, a court may require production of minutes of grand jury proceedings upon a showing that there is a particularized need or compelling necessity for such disclosure.",1,Facts
"This Court, after reviewing the order, agrees that the intent of said order is to provide a blanket prohibition on the use of any information not properly answered.",1,Facts
"It has been held in at' least one jurisdiction that a criminal defendant is under certain circumstances constitutionally entitled to some part of a grand jury transcript, and that under its rule-making power a court may amend existing Criminal Procedure Rules to require the recording of all evidence before the qrand jury.",1,Facts
It is the government's impropriety in the proceedings as well as the prejudice resulting therefrom.,1,Facts
The Court fails to find weight in the Government's remaining arguments.,1,Facts
DEFENDANT'S MOTION TO STRIKE The Government contends that its motion is supported by Rule 408 of the Rules of Evidence which prohibits the admission of evidence of compromise to prove liability.,1,Facts
This court will now consider each motion separately.,1,Facts
"Upon hearing all the oral arguments of both parties, this court ruled to reserve decision.",1,Facts
"Plaintiff then orally moved the court to prohibit the Government from using any information which the defendant was precluded from using pursuant to order of the court dated September 11, 1979.",1,Facts
"This matter came for hearing on May 16, 1980, to consider defendant Government's motion to strike certain documents attached in support of plaintiff's motion in opposition to summary judgment.",1,Facts
Thereafter the transcript shall be open to the public unless the court orders otherwise on its own motion or on motion of a party pending a determination as to whether all or part of the transcript should be sealed.,1,Facts
(b) The transcript shall not be open to the public until ten days after the delivery to the defendant or his attorney.,1,Facts
"The law in the Territory of Guam provides for equally liberal recordation and disclosure of grand jury proceedings, including the affirmative duty of delivering a copy of the original transcript to each defendant or his attorney.",1,Facts
"Plaintiff contends that even if a defect were to exist in the summons, over 100 days have since elapsed and as yet defendant has not filed a response, thus inferring that any response now would be untimely.",1,Facts
If the copy of testimony is not served as provided in this section the court shall on motion of the defendant continue the trial to such time as may be necessary to secure to the defendant receipt of a copy of such testimony ten days before such trial.,1,Facts
"However, no copy shall be delivered to a defendant prior to his first appearance pursuant to Section 45.30.",1,Facts
The clerk shall file the original transcript and immediately deliver a copy to the prosecuting attorney and to each defendant or his attorney.,1,Facts
The reporter shall complete such certification and delivery within ten days after the indictment is returned unless the court for good cause makes an order extending time.,1,Facts
"(a) If an indictment is returned against a defendant, the reporter shall transcribe the grand jury proceedings and shall certify and deliver to the clerk of the court the original transcript and a copy thereof for the prosecuting attorney and each defendant.",1,Facts
"* * * The county clerk shall deliver the original of the transcript so filed with him to the district attorney immediately upon his receipt thereof, shall retain one copy for use only by judges in proceedings relating to the indictment or accusation, and shall delivery a copy of such transcript upon each such defendant or his attorney.""",1,Facts
"""If an indictment has been found or accusation presented against a defendant, such stenographic reporter shall certify and file with the county clerk an original transcription of his shorthand notes and a copy thereof and as many additional copies as there are defendants.",1,Facts
There is a certain danger in allowing off-the-record discussions to occur at any time and under any circumstances during official grand jury proceedings.,1,Facts
"But the statute is explicit in its statement that the grand jury proceedings are to be recorded, and no allowance is made for off-the-record discussions during the course of the grand jury proceedings.",1,Facts
The better practice is to record all proceedings had before the grand jury.,2,Issue
"Having failed to provide proper answers to the requested interrogatories specifically relating to the ""Letter of Understanding"", this Court finds the Government is forthwith precluded from using such information in support of its motion for summary judgment.",2,Issue
"It is now argued by the Government that it is not utilizing any information precluded by the order, but is relying only on information contained it its answer to the complaint.",2,Issue
"As to the issue of hearsay, the Court finds these documents to be non-hearsay.",2,Issue
"Thus, before reaching any federal constitutional issue, this Court must first decide the effect under Guam law of these two statutes when read together.",2,Issue
Defendant Boonprakong moved for dismissal of this action because it fails to state a claim against him upon which relief can be granted.,2,Issue
"Section 413 of the Code of Civil Procedure provides the time frame within which a defendant must respond to the summons served by order of publication, ""... the service of the summons is complete at the expiration of the time prescribed by the order of publication.""",3,Rule/Law/Holding
"See e.g. Durso v. Rowe, supra, and §39100.2 of the Government Code, stating that the provisions of the Chapter dealing with parole shall apply when considering the eligibility for extramural programs.",3,Rule/Law/Holding
"3It should be further noted that while Authority employees are covered by Workmen's Compensation, the benefits are actually paid from the Government of Guam's Workmen's Compensation Fund, Government Code §21512(b).",3,Rule/Law/Holding
"Further, Government Code §21512(c), which was passed as part of the Guam Power Authority Act of 1968, as originally passed, specifically states that the manager, secretary, treasurer, comptroller and attorney of the Authority are not within the classified service of the Government of Guam.",3,Rule/Law/Holding
"14-28(b), which provides ""Equality of Rights under the law shall not be denied or abridged on account of sex.14-28(b), which provides ""Equality of Rights under the law shall not be denied or abridged on account of sex.",3,Rule/Law/Holding
"First, Civil Code §138 provides a basis for the award of child support which is not sex based.",3,Rule/Law/Holding
"As stated in Durso v. Rowe, 579 F.2d 1365 (7th Cir.",3,Rule/Law/Holding
Government Code §6500.12.,3,Rule/Law/Holding
"See, 1A Sutherland, Statutory Construction Section 23.16.",3,Rule/Law/Holding
"See, Brown v. Arrington Construction Co., 74 Idaho 338, 262 P.2d 789, dicta (1953).",3,Rule/Law/Holding
"See, Restatement, Agency 2d, p. 485, sec.",3,Rule/Law/Holding
"If the Government of Guam is actually the plaintiff's employer, Government Code §37005 bars this action.",3,Rule/Law/Holding
"Pursuant to Government Code §6500.15, trial was before the court, without jury.",3,Rule/Law/Holding
"The defendant interposed as a defense to the granting of such a motion that §139 of the Civil Code which provides for the payment of child support by fathers, but not by mothers, is a violation of equal protection of the law on the basis of sex.",3,Rule/Law/Holding
"See, 2A Moore's Federal Practice Paragraph 8.27 [3] and Wright, and Miller, Federal Practice and Procedure: Civil §1278.",3,Rule/Law/Holding
"Although Government Code §6500.10 speaks of suing the Government of Guam as the exclusive remedy, this is a law of general applicability.",3,Rule/Law/Holding
"Finally, the Government contends that the Director does not have the authority to transfer prisoners out of the Adult Main Facility to participate in work-release program, citing to §39100.2 and §55015 of the Government Code (providing that no prisoner at the Adult Main Facility shall be allowed to participate in any extramural program without the express order of the parole board).",3,Rule/Law/Holding
"Developments in the Law-Equal Protection, 82 Harv.",3,Rule/Law/Holding
"1065, 1136-37 (1979) (footnote omitted), as quoted in Commonwealth v. Butler 328 A.2d 851, 860 (Pa. 1974).",3,Rule/Law/Holding
There can be little doubt that Civil Code §139 is exactly the sort of law condemned as a violation of the equal protection of the laws by Orr v. Orr 99 S.Ct.,3,Rule/Law/Holding
"Commonwealth v. Butler 328 A.2d 851, 860 (Pa. 1974).",3,Rule/Law/Holding
"In People v. Pipes, 179 Cal. App. 2d 547 (1969), referring to the California statute which was in effect at the time of certain grand jury proceedings and the defendant's request for a copy of such proceedings, the court noted:",3,Rule/Law/Holding
"There was an additional argument raised by defendant upon which the Court did not rule, i.e., the effect of Public Law 13-115 (§9990 et.",3,Rule/Law/Holding
"With all the Authority's special privileges, which include exemption from taxation, government retirement benefits, etc., the Guam Power Authority Act of 1968 would clearly be void as violative of 48 U.S.C. §1471 if the Authority were not within the Government of Guam.",3,Rule/Law/Holding
The Court bases its decision upon the sufficiency of the summons mailed in December pursuant to the order for publication.,4,Analysis
"However, Government Code §21502 is, at first blush, ambiguous.",4,Analysis
"If the Guam Power Authority is ""autonomous"" as set forth in §21502, how can an agency relationship exist between it and the Government of Guam?",4,Analysis
"Yet, the same §21502 sets forth that the Guam Power Authority is an ""instrumentality"" of the Government of Guam.",4,Analysis
"Where the court is faced with two interpretations, one of which would hold the statute wholly void and the other of which would uphold the statute, it is clear that the legislative intent must be the latter interpretations.",4,Analysis
"Although the Fund may recoup these payments from the Authority on an annual basis pursuant to this Section, the liability for Workmen's Compensation payments is upon the Government of Guam.",4,Analysis
The uncontradicted testimony of Root and Reyes suggest that the right to confront and produce witnesses was limited when their cases were heard.,4,Analysis
"Thus, the bare fact that compensation to plaintiff under the Worlonen's Compensation Law would come from the Government of Guam's Workmen's Compensation Fund is sufficient to bar plaintiff's claim under Government Code §37005.",4,Analysis
"This Section does not, therefore, override the specific provisions of Government Code 37005 that make the Workmen's Compensation Law the exclusive remedy against the Government of Guam in some cases.",4,Analysis
"Obviously prison administrators have great discretion in supervising prisoners; however, it is only when a prisoner's actions might reasonably endanger prison security or the safety of the public in general, that a prisoner's vested rights may be temporarily suspended prior to a full and adequate hearing.",4,Analysis
"This is not to minimize the seriousness of the offenses charged; however, benefits afforded a prisoner on a work-release program are similar to those of a prisoner on parole, thus requiring greater rights to a hearing than might normally be associated with general prison discipline and administrative procedures.",4,Analysis
"If plaintiff is not an employee of the Government of Guam, then §37005 is no bar to this action.",4,Analysis
"However, assuming that these sections apply to the petitioners, it would seem that the Director conversely has no authority to remove prisoners from the Halfway House Correctional Facility without the express approval of the parole board.",4,Analysis
"There is no question that the petitioners' rights guaranteed under Wolff v. McDonnel, 418 U.S. 539, 94 S.Ct.",4,Analysis
"Therefore, defendant shall be allowed an additional period within which to file her answer in this case.",4,Analysis
"2963, 41 L.Ed.2d 935 (1974) and its progeny (e.g. Durso v. Rowe, supra) were ignored by the Director of Corrections.",4,Analysis
It would seem inequitable for this court to bind defendant to the two (2) month requirement for response when due in part to clerical error by the clerk the summons was served in a defective state.,4,Analysis
"In some cases the gravity of certain offenses could justify the disciplinary removal of a prisoner from work release prior to a full hearing; however, no exigent circumstances to justify such removal have been shown by the Government to exist in the cases at bar.",4,Analysis
"Where it appears clearly from the tenor of the statute that employees of the Authority are employees of the Government, and the Legislature specifically exempts certain people from the operation of the statue, it is strong evidence that the",4,Analysis
"1 During the course of the trial, the plaintiff's proof having established that plaintiff was within the scope of his employment at the time of the incident, the court itself raised the issue of whether or not this action was barred under the Workmen's compensation Law, Government Code Sections 37000 et.",4,Analysis
Too often grand juries are criticized for being mere rubber stamps of the prosecution.,4,Analysis
"This was proper and appropriate, for, although such a defense is normally barred by Rules of Civil Procedure 8(c) if not pleaded, the defendant may, nonetheless, take advantage of the plaintiff's proof, and, if necessary, the court will raise the issue itself.",4,Analysis
"Thus, even if §139 were found to be void as urged, there is a basis for the award of child support.",4,Analysis
"Second, although this statute as written is violative of the Constitution, and by authority of Orr v. Orr void, this court need not reach this result, or indeed a federal constitutional issue, in this case.",4,Analysis
"Such an inquiry may lead a court into examination of legislative purpose, the overall statutory scheme, statutory arrangements in connected fields and the needs of the public.",4,Analysis
"Although plaintiff has no record of the cancellation the testimony received indicates that a record of the cancellation might not have been made or if made, might have been destroyed.",4,Analysis
It therefore appears that Mr. Cate would not be liable for any of the present judgment.,4,Analysis
"Thus, it is required in Guam that a transcript be made and that copies be provided for both the prosecuting attorney and each defendant.",4,Analysis
The government maintains that the indictments should not be dismissed because of two off-the-record discussions in the absence of a showing as to the nature of the discussions and prejudice accruing to the appellants.,4,Analysis
"Granted, we are not able to say with any certitude that appellants were in fact prejudiced by these discussions.",4,Analysis
Off-the-record discussions may lend credence to such criticism.,4,Analysis
The language of the court in Pipes is equally appropriate to the matter now on appeal before this Court.,4,Analysis
"Further, while we are not aware of the nature of the off-the-record discussions, we find it necessary to add that, although it is the role of the prosecutor to draw such indictments as the grand jury directs, he may not give advice as to the sufficiency or insufficiency of the evidence in any matter, nor may he in any way seek to influence the grand jury to find or not to find any indictment, nor may he take part in any of the grand jury's deliberations, as these are all matters wholly within the exclusive province of the grand jury.",4,Analysis
"The Government further contends that such documents are hearsay, violate the Best Evidence Rule, and are not properly authenticated.",4,Analysis
"But we are not willing to speculate that they were not, nor should a defendant be asked to guess and be burdened with proving that he was.",4,Analysis
"Plaintiff, on oral argument, stated that the challenged documents were submitted for the purpose of estopping the Government from asserting as a defense the untimely filing of plaintiff's claim and action.",4,Analysis
This Court finds that Rule 408 creates an exception for the admissibility of evidence otherwise inadmissible if offered for purposes other than to prove liability.,4,Analysis
"Plaintiff does not seek to establish that the documents of compromise are an admission of liability on the part of the Government, but merely that negotiations were ongoing they are admissible.",4,Analysis
"With regard to the Best Evidence argument, where an original is unobtainable, or within the control of the party opponent, the Rule creates an exception for the introduction of copy in lieu of the original.",4,Analysis
"Based on the foregoing, this Court finds no ground to strike the documents as submitted by plaintiff, and accordingly DENIES the Government's motion.",4,Analysis
"This Court believes that the order of September 11th clearly circumvents this argument, and that said order is an unconditional prohibition upon the Government from using any information relating to questions not properly answered.",4,Analysis
"IT IS HEREBY ORDERED that defendant's motion to quash is DENIED, and that defendant file an answer herein with 30 days of this order.",5,Conclusion
The case cited by plaintiff in this regard are unpersuasive.,5,Conclusion
"This being the case, the Government of Guam cannot, as a matter of law, be a third party with respect to plaintiff.",5,Conclusion
"Accordingly, it is the ruling of this court that all references to ""husband"", ""wife"", ""him"", and ""her"" in the Civil Code §139 are repealed, and that this statute should be read with the non-sex-based term ""a party"" wherever such terms are used.",5,Conclusion
The Court finds Mr. Cate could be held liable only for the April and May billings and the installation charge.,5,Conclusion
IT IS ORDERED that the Motion for Dismissal is Denied.,5,Conclusion
"Plaintiff appeared through counsel Paul J. Rodgers, and defendant was represented by counsel E. R. Crain.",6,Others
"Dated this 25th day of March, 1980.",6,Others
"There is within, and a public corporation and autonomous instrumentality of, the Government of Guam a Guam Power Authority.",6,Others
It is unthinkable that the Legislature would have intended the Authority to be other than an instrumentality of the Government of Guam.,6,Others
This is an apparent contradiction.,6,Others
It reads as follows:,6,Others
INDICTMENTS DISMISSED WITHOUT PREJUDICE.,6,Others
Judgment shall be for defendant.,6,Others
"If such discussions are allowed, it would be impossible for the defendant, or for a court sitting in review of alleged impropriety in the proceedings, to determine with specificity what testimony or other statements were considered in the return of an indictment.",6,Others
The departures from this rule and the variations thereof are many.,6,Others
IT IS SO ORDERED.,6,Others
"All laws, rules, regulations, and Executive Orders with the force of law which are inconsistent with this section are hereby repealed to the extent of such ■ inconsistency.""",6,Others
The Fourteenth Guam Legislature enacted P.L.,6,Others
"However, this is not dispositive of the question before the court.",6,Others
We adopt the holding of Wilkey.,6,Others
Court ruled to reserve decision.,6,Others
